labels,sentences
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p0/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p10/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p100/image_14.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1000/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1001/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1002/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1003/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1004/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1005/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1006/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1007/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1008/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1009/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p101/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1010/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1011/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1012/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1013/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1014/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1015/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1016/image_10.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1017/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1018/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1019/image_8.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p102/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1020/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1021/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p1022/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p103/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p104/image_13.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p105/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p106/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p107/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p108/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p109/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p11/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p110/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p111/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p112/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p113/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p114/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p115/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p116/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p117/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p118/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p119/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p12/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p120/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p121/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p122/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p123/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p124/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p125/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p126/image_13.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p127/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p128/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p129/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p13/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p130/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p131/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p132/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p133/image_8.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p134/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p135/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p136/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p137/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p138/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p139/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p14/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p140/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p141/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p142/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p143/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p144/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p145/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p146/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p147/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p148/image_11.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p149/image_9.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p15/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p150/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p151/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p152/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p153/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p154/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p155/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p156/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p157/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p158/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p159/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p16/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p160/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p161/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p162/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p163/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p164/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p165/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p166/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p167/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p168/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p169/image_9.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p17/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p170/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p171/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p172/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p173/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p174/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p175/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p176/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p177/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p178/image_6.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p179/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p18/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p180/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p181/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p182/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p183/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p184/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p185/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p186/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p187/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p188/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p189/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p19/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p190/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p191/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p192/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p193/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p194/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p195/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p196/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p197/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p198/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p199/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p2/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p20/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p200/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p201/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p202/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p203/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p204/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p205/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p206/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p207/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p208/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p209/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p21/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p210/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p211/image_12.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p212/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p213/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p214/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p215/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p216/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p217/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p218/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p219/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p22/image_15.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p220/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p221/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p222/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p223/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p224/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p225/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p226/image_3.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p227/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p228/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p229/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p23/image_8.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p230/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p231/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p232/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p233/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p234/cover.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p235/image_7.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p236/image_4.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p237/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p238/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p239/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p24/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p240/image_5.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p241/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p242/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p243/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p244/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p245/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p246/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p247/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p248/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p249/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p25/image_1.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p250/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p251/image_2.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p252/image_0.jpg
1,D:\ei\Sentiment_Analysis_Imdb-master\p/p253/image_0.jpg
